Dia;Tratamento;Repeticao;Comprimento;Numero_neonatos;Numero_ovos;Numero_ovos_somados;;;
3;0,05;R3;0,61;0;5;5;;;
4;0,05;R3;0,61;0;0;5;;;
5;0,05;R3;0,64;0;4;9;;;
6;0,05;R3;0,7;0;0;9;;;
7;0,05;R3;0,73;0;4;13;;;
8;0,05;R3;0,76;0;0;13;;;
0;0,05;R4;0,34;0;0;0;;;
1;0,05;R4;0,4;0;0;0;;;
2;0,05;R4;0,45;0;0;0;;;
3;0,05;R4;0,6;0;2;2;;;
4;0,05;R4;0,6;0;0;2;;;
5;0,05;R4;0,7;0;3;5;;;
6;0,05;R4;0,7;0;0;5;;;
7;0,05;R4;0,72;0;5;10;;;
8;0,05;R4;0,76;0;0;10;;;
0;0,05;R5;0,33;0;0;0;;;
1;0,05;R5;0,43;0;0;0;;;
2;0,05;R5;0,48;0;0;0;;;
3;0,05;R5;0,58;0;2;2;;;
4;0,05;R5;0,6;0;0;2;;;
5;0,05;R5;0,67;0;3;5;;;
6;0,05;R5;0,65;0;0;5;;;
7;0,05;R5;0,75;0;4;9;;;
8;0,05;R5;0,75;0;0;9;;;
0;0,05;R6;0,31;0;0;0;;;
1;0,05;R6;0,39;0;0;0;;;
2;0,05;R6;0,48;0;0;0;;;
3;0,05;R6;0,48;0;0;0;;;
4;0,05;R6;0,55;0;0;0;;;
5;0,05;R6;0,67;2;4;4;;;
6;0,05;R6;0,67;2;0;4;;;
7;0,05;R6;0,67;5;3;7;;;
8;0,05;R6;0,67;1;0;7;;;
0;0,05;R7;0,34;0;0;0;;;
1;0,05;R7;0,4;2;0;0;;;
2;0,05;R7;0,49;2;0;0;;;
3;0,05;R7;0,57;2;3;3;;;
4;0,05;R7;0,57;2;0;3;;;
5;0,05;R7;0,66;3;5;8;;;
6;0,05;R7;0,66;0;0;8;;;
7;0,05;R7;0,7;0;4;12;;;
8;0,05;R7;0,7;0;0;12;;;
0;0,05;R8;0,37;0;0;0;;;
1;0,05;R8;0,42;0;0;0;;;
2;0,05;R8;0,48;0;0;0;;;
3;0,05;R8;0,55;0;2;2;;;
4;0,05;R8;0,55;0;0;2;;;
5;0,05;R8;0,66;0;4;6;;;
6;0,05;R8;0,67;0;0;6;;;
7;0,05;R8;0,69;5;6;12;;;
8;0,05;R8;0,69;4;0;12;;;
0;0,05;R9;0,34;4;0;0;;;
1;0,05;R9;0,39;3;0;0;;;
2;0,05;R9;0,45;3;0;0;;;
3;0,05;R9;0,48;4;0;0;;;
4;0,05;R9;0,55;5;2;2;;;
5;0,05;R9;0,7;4;3;5;;;
6;0,05;R9;0,66;3;0;5;;;
7;0,05;R9;0,7;3;4;9;;;
8;0,05;R9;0,7;5;0;9;;;
0;0,05;R10;0,36;0;0;0;;;
1;0,05;R10;0,43;0;0;0;;;
2;0,05;R10;0,52;5;0;0;;;
3;0,05;R10;0,6;0;3;3;;;
4;0,05;R10;0,6;0;0;3;;;
5;0,05;R10;0,6;4;3;6;;;
6;0,05;R10;0,67;6;0;6;;;
7;0,05;R10;0,68;0;6;12;;;
8;0,05;R10;0,72;6;0;12;;;
0;0,1;R1;0,37;0;0;0;;;
1;0,1;R1;0,45;0;0;0;;;
2;0,1;R1;0,52;0;0;0;;;
3;0,1;R1;0,58;0;3;3;;;
4;0,1;R1;0,58;0;0;3;;;
5;0,1;R1;0,64;0;5;8;;;
6;0,1;R1;0,66;0;0;8;;;
7;0,1;R1;0,69;0;6;14;;;
8;0,1;R1;0,75;0;0;14;;;
0;0,1;R2;0,36;0;0;0;;;
1;0,1;R2;0,43;0;0;0;;;
2;0,1;R2;0,51;0;0;0;;;
3;0,1;R2;0,55;0;2;2;;;
4;0,1;R2;0,55;0;0;2;;;
5;0,1;R2;0,63;0;4;6;;;
6;0,1;R2;0,64;0;0;6;;;
7;0,1;R2;0,67;0;5;11;;;
8;0,1;R2;0,67;0;0;11;;;
0;0,1;R3;0,36;0;0;0;;;
1;0,1;R3;0,42;0;0;0;;;
2;0,1;R3;0,49;0;0;0;;;
3;0,1;R3;0,51;0;0;0;;;
4;0,1;R3;0,55;0;3;3;;;
5;0,1;R3;0,6;0;0;3;;;
6;0,1;R3;0,61;0;3;6;;;
7;0,1;R3;Morta;0;0;6;;;
8;0,1;R3;Morta;0;0;6;;;
0;0,1;R4;0,34;0;0;0;;;
1;0,1;R4;0,4;0;0;0;;;
2;0,1;R4;0,49;0;0;0;;;
3;0,1;R4;0,49;0;0;0;;;
4;0,1;R4;0,57;0;4;4;;;
5;0,1;R4;0,6;0;0;4;;;
6;0,1;R4;0,7;0;5;9;;;
7;0,1;R4;0,7;0;0;9;;;
8;0,1;R4;0,73;0;0;9;;;
0;0,1;R5;0,36;0;0;0;;;
1;0,1;R5;0,4;0;0;0;;;
2;0,1;R5;0,49;0;0;0;;;
3;0,1;R5;0,56;0;2;2;;;
4;0,1;R5;0,57;0;0;2;;;
5;0,1;R5;0,64;0;5;7;;;
6;0,1;R5;0,67;0;0;7;;;
7;0,1;R5;Morta;0;0;7;;;
8;0,1;R5;Morta;0;0;7;;;
0;0,1;R6;0,34;0;0;0;;;
1;0,1;R6;0,43;0;0;0;;;
2;0,1;R6;0,51;0;0;0;;;
3;0,1;R6;0,56;0;2;2;;;
4;0,1;R6;0,57;0;0;2;;;
5;0,1;R6;0,64;3;2;4;;;
6;0,1;R6;0,63;2;0;4;;;
7;0,1;R6;0,66;0;5;9;;;
8;0,1;R6;0,67;4;0;9;;;
0;0,1;R7;0,34;1;0;0;;;
1;0,1;R7;0,42;2;0;0;;;
2;0,1;R7;0,48;0;0;0;;;
3;0,1;R7;0,51;2;0;0;;;
4;0,1;R7;0,55;1;2;2;;;
5;0,1;R7;0,55;0;0;2;;;
6;0,1;R7;0,6;0;1;3;;;
7;0,1;R7;0,61;0;0;3;;;
8;0,1;R7;0,61;2;0;3;;;
0;0,1;R8;0,37;0;0;0;;;
1;0,1;R8;0,43;0;0;0;;;
2;0,1;R8;0,51;0;0;0;;;
3;0,1;R8;0,58;2;2;2;;;
4;0,1;R8;0,58;0;0;2;;;
5;0,1;R8;0,67;0;5;7;;;
6;0,1;R8;0,67;1;0;7;;;
7;0,1;R8;0,67;5;6;13;;;
8;0,1;R8;0,67;4;0;13;;;
0;0,1;R9;0,36;0;0;0;;;
1;0,1;R9;0,42;0;0;0;;;
2;0,1;R9;0,52;0;0;0;;;
3;0,1;R9;0,6;2;3;3;;;
4;0,1;R9;0,6;1;0;3;;;
5;0,1;R9;0,67;5;5;8;;;
6;0,1;R9;0,67;0;0;8;;;
7;0,1;R9;Morta;0;0;8;;;
8;0,1;R9;Morta;6;0;8;;;
0;0,1;R10;0,31;0;0;0;;;
1;0,1;R10;0,39;0;0;0;;;
2;0,1;R10;0,49;0;0;0;;;
3;0,1;R10;0,49;0;0;0;;;
4;0,1;R10;0,58;5;2;2;;;
5;0,1;R10;0,58;2;0;2;;;
6;0,1;R10;0,67;0;0;2;;;
7;0,1;R10;Morta;0;0;2;;;
8;0,1;R10;Morta;0;0;2;;;
