Tratamento;Dia;Repeticao;Num_ovos;Num_neonatos;Comprimento;Comprimento_original
0.09;3;R6;4;0;0,6;0,6
0.09;3;R7;3;0;0,57;0,57
0.09;3;R8;4;0;0,61;0,61
0.09;3;R9;0;0;0,46;0,46
0.09;3;R10;3;0;0,58;0,58
0.09;4;R1;0;0;0,61;0,61
0.09;4;R2;0;0;0,6;0,6
0.09;4;R3;5;3;0,67;0,67
0.09;4;R4;0;0;0,6;0,6
0.09;4;R5;5;3;0,65;0,65
0.09;4;R6;0;0;0,6;0,6
0.09;4;R7;0;0;0,6;0,6
0.09;4;R8;0;0;0,61;0,61
0.09;4;R9;0;0;0;Morta
0.09;4;R10;0;0;0,58;0,58
0.09;5;R1;5;3;0,66;0,66
0.09;5;R2;6;3;0,67;0,67
0.09;5;R3;0;0;0,67;0,67
0.09;5;R4;5;3;0,66;0,66
0.09;5;R5;4;0;0,67;0,67
0.09;5;R6;5;4;0,6;0,6
0.09;5;R7;5;3;0,64;0,64
0.09;5;R8;6;2;0,69;0,69
0.09;5;R9;0;0;0;Morta
0.09;5;R10;6;2;0,64;0,64
0.09;6;R1;0;0;0,67;0,67
0.09;6;R2;0;0;0,67;0,67
0.09;6;R3;0;0;0;Morta
0.09;6;R4;3;5;0,66;0,66
0.09;6;R5;2;5;0,72;0,72
0.09;6;R6;2;5;0,66;0,66
0.09;6;R7;2;5;0,67;0,67
0.09;6;R8;0;6;0,67;0,67
0.09;6;R9;0;0;0;Morta
0.09;6;R10;5;6;0,67;0,67
0.09;7;R1;4;5;0,69;0,69
0.09;7;R2;3;6;0,69;0,69
0.09;7;R3;0;0;0;Morta
0.09;7;R4;0;0;0,66;0,66
0.09;7;R5;0;0;0,72;0,72
0.09;7;R6;0;0;0,69;0,69
0.09;7;R7;0;0;0,67;0,67
0.09;7;R8;4;0;0,69;0,69
0.09;7;R9;0;0;0;Morta
0.09;7;R10;0;0;0;Morta
0.09;8;R1;0;0;0,7;0,7
0.09;8;R2;0;0;0,7;0,7
0.09;8;R3;0;0;0;Morta
0.09;8;R4;0;5;0,67;0,67
0.09;8;R5;5;0;0,72;0,72
0.09;8;R6;5;5;0,72;0,72
0.09;8;R7;0;6;0,67;0,67
0.09;8;R8;0;0;0,72;0,72
0.09;8;R9;0;0;0;Morta
0.09;8;R10;0;0;0;Morta
