Dia;Tratamento;Repeti‡Æo;Numero_neonatos;Numero_neonatos_somados;Numero_ovos;Numeros_ovos_somados;Comprimento
3;0,04;R2;0;0;2;2;0,6
4;0,04;R2;1;1;0;2;0,6
5;0,04;R2;0;1;3;5;0,64
6;0,04;R2;3;4;3;8;0,67
7;0,04;R2;0;4;0;8;0,67
8;0,04;R2;3;7;0;8;0,66
0;0,04;R3;0;0;0;0;0,33
1;0,04;R3;0;0;0;0;0,42
2;0,04;R3;0;0;0;0;0,52
3;0,04;R3;0;0;3;3;0,6
4;0,04;R3;0;0;0;3;0,6
5;0,04;R3;3;3;5;8;0,67
6;0,04;R3;5;8;8;16;0,69
7;0,04;R3;0;8;0;16;0,69
8;0,04;R3;0;8;0;16;Morta
0;0,04;R4;0;0;0;0;0,33
1;0,04;R4;0;0;0;0;0,4
2;0,04;R4;0;0;0;0;0,49
3;0,04;R4;0;0;3;3;0,57
4;0,04;R4;0;0;0;3;0,6
5;0,04;R4;2;2;5;8;0,63
6;0,04;R4;0;2;0;8;0,63
7;0,04;R4;5;7;6;14;0,67
8;0,04;R4;0;7;0;14;0,67
0;0,04;R5;0;0;0;0;0,33
1;0,04;R5;0;0;0;0;0,39
2;0,04;R5;0;0;0;0;0,51
3;0,04;R5;0;0;4;4;0,6
4;0,04;R5;0;0;0;4;0,6
5;0,04;R5;3;3;6;10;0,66
6;0,04;R5;6;9;0;10;0,64
7;0,04;R5;0;9;0;10;Morta
8;0,04;R5;0;9;0;10;Morta
0;0,04;R6;0;0;0;0;0,31
1;0,04;R6;0;0;0;0;0,45
2;0,04;R6;0;0;0;0;0,55
3;0,04;R6;0;0;4;4;0,64
4;0,04;R6;2;2;0;4;0,64
5;0,04;R6;2;4;5;9;0,67
6;0,04;R6;5;9;8;17;0,7
7;0,04;R6;0;9;0;17;0,72
8;0,04;R6;8;17;0;17;0,75
0;0,04;R7;0;0;0;0;0,31
1;0,04;R7;0;0;0;0;0,39
2;0,04;R7;0;0;0;0;0,49
3;0,04;R7;0;0;3;3;0,55
4;0,04;R7;0;0;0;3;0,55
5;0,04;R7;2;2;4;7;0,57
6;0,04;R7;0;2;0;7;0,6
7;0,04;R7;4;6;6;13;0,61
8;0,04;R7;0;6;0;13;0,61
0;0,04;R8;0;0;0;0;0,34
1;0,04;R8;0;0;0;0;0,45
2;0,04;R8;0;0;0;0;0,46
3;0,04;R8;0;0;4;4;0,61
4;0,04;R8;0;0;0;4;0,61
5;0,04;R8;3;3;5;9;0,66
6;0,04;R8;5;8;0;9;0,67
7;0,04;R8;0;8;6;15;0,67
8;0,04;R8;4;12;0;15;0,69
0;0,04;R9;0;0;0;0;0,31
1;0,04;R9;0;0;0;0;0,43
2;0,04;R9;0;0;0;0;0,51
3;0,04;R9;0;0;0;0;0,51
4;0,04;R9;0;0;1;1;0,54
